# date, home, score, away, score
2009-09-10 PIT 13 TEN 10
2009-09-13 ATL 19 MIA  7
2009-09-13 BAL 38 KC  24
2009-09-13 CAR 10 PHI 38
2009-09-13 CIN  7 DEN 12
2009-09-13 CLE 20 MIN 34
2009-09-13 HOU  7 NYJ 24
2009-09-13 IND 14 JAC 12
2009-09-13 NO  45 DET 27
2009-09-13 TB  21 DAL 34
2009-09-13 ARI 16 SF  20
2009-09-13 NYG 23 WAS 17
2009-09-13 SEA 28 LAR  0
2009-09-13 GB  21 CHI 15
2009-09-14 NE  25 BUF 24
2009-09-14 OAK 20 LAC 24
2009-09-20 ATL 28 CAR 20
2009-09-20 DET 13 MIN 27
2009-09-20 GB  24 CIN 31
2009-09-20 JAC 17 ARI 31
2009-09-20 KC  10 OAK 13
2009-09-20 NYJ 16 NE   9
2009-09-20 PHI 22 NO  48
2009-09-20 TEN 31 HOU 34
2009-09-20 WAS  9 LAR  7
2009-09-20 BUF 33 TB  20
2009-09-20 SF  23 SEA 10
2009-09-20 CHI 17 PIT 14
2009-09-20 DEN 27 CLE  6
2009-09-20 LAC 26 BAL 31
2009-09-20 DAL 31 NYG 33
2009-09-21 MIA 23 IND 27
2009-09-27 BAL 34 CLE  3
2009-09-27 DET 19 WAS 14
2009-09-27 HOU 24 JAC 31
2009-09-27 MIN 27 SF  24
2009-09-27 NE  26 ATL 10
2009-09-27 PHI 34 KC  14
2009-09-27 LAR 17 GB  36
2009-09-27 TB   0 NYG 24
2009-09-27 NYJ 24 TEN 17
2009-09-27 BUF  7 NO  27
2009-09-27 SEA 19 CHI 25
2009-09-27 CIN 23 PIT 20
2009-09-27 OAK  3 DEN 23
2009-09-27 LAC 23 MIA 13
2009-09-27 ARI 10 IND 31
2009-09-28 DAL 21 CAR  7
2009-10-04 CHI 48 DET 24
2009-10-04 CLE 20 CIN 23
2009-10-04 HOU 29 OAK  6
2009-10-04 IND 34 SEA 17
2009-10-04 JAC 37 TEN 17
2009-10-04 KC  16 NYG 27
2009-10-04 NE  27 BAL 21
2009-10-04 WAS 16 TB  13
2009-10-04 MIA 38 BUF 10
2009-10-04 NO  24 NYJ 10
2009-10-04 DEN 17 DAL 10
2009-10-04 SF  35 LAR  0
2009-10-04 PIT 38 LAC 28
2009-10-05 MIN 30 GB  23
2009-10-11 BAL 14 CIN 17
2009-10-11 BUF  3 CLE  6
2009-10-11 CAR 20 WAS 17
2009-10-11 DET 20 PIT 28
2009-10-11 KC  20 DAL 26
2009-10-11 NYG 44 OAK  7
2009-10-11 PHI 33 TB  14
2009-10-11 LAR 10 MIN 38
2009-10-11 SF  10 ATL 45
2009-10-11 ARI 28 HOU 21
2009-10-11 DEN 20 NE  17
2009-10-11 SEA 41 JAC  0
2009-10-11 TEN  9 IND 31
2009-10-12 MIA 31 NYJ 27
2009-10-18 CIN 17 HOU 28
2009-10-18 GB  26 DET  0
2009-10-18 JAC 23 LAR 20
2009-10-18 MIN 33 BAL 31
2009-10-18 NO  48 NYG 27
2009-10-18 PIT 27 CLE 14
2009-10-18 TB  21 CAR 28
2009-10-18 WAS  6 KC  14
2009-10-18 OAK 13 PHI  9
2009-10-18 SEA  3 ARI 27
2009-10-18 NE  59 TEN  0
2009-10-18 NYJ 13 BUF 16
2009-10-18 ATL 21 CHI 14
2009-10-19 LAC 23 DEN 34
2009-10-25 CLE  3 GB  31
2009-10-25 HOU 24 SF  21
2009-10-25 KC   7 LAC 37
2009-10-25 PIT 27 MIN 17
2009-10-25 LAR  6 IND 42
2009-10-25 TB   7 NE  35
2009-10-25 CAR  9 BUF 20
2009-10-25 OAK  0 NYJ 38
2009-10-25 CIN 45 CHI 10
2009-10-25 DAL 37 ATL 21
2009-10-25 MIA 34 NO  46
2009-10-25 NYG 17 ARI 24
2009-10-26 WAS 17 PHI 27
2009-11-01 BAL 30 DEN  7
2009-11-01 BUF 10 HOU 31
2009-11-01 CHI 30 CLE  6
2009-11-01 DAL 38 SEA 17
2009-11-01 DET 10 LAR 17
2009-11-01 IND 18 SF  14
2009-11-01 NYJ 25 MIA 30
2009-11-01 PHI 40 NYG 17
2009-11-01 LAC 24 OAK 16
2009-11-01 TEN 30 JAC 13
2009-11-01 GB  26 MIN 38
2009-11-01 ARI 21 CAR 34
2009-11-02 NO  35 ATL 27
2009-11-08 ATL 31 WAS 17
2009-11-08 CHI 21 ARI 41
2009-11-08 CIN 17 BAL  7
2009-11-08 IND 20 HOU 17
2009-11-08 JAC 24 KC  21
2009-11-08 NE  27 MIA 17
2009-11-08 TB  38 GB  28
2009-11-08 NO  30 CAR 20
2009-11-08 SEA 32 DET 20
2009-11-08 NYG 20 LAC 21
2009-11-08 SF  27 TEN 34
2009-11-08 PHI 16 DAL 20
2009-11-09 DEN 10 PIT 28
2009-11-12 SF  10 CHI  6
2009-11-15 CAR 28 ATL 19
2009-11-15 MIA 25 TB  23
2009-11-15 MIN 27 DET 10
2009-11-15 NYJ 22 JAC 24
2009-11-15 PIT 12 CIN 18
2009-11-15 LAR 23 NO  28
2009-11-15 TEN 41 BUF 17
2009-11-15 WAS 27 DEN 17
2009-11-15 OAK 10 KC  16
2009-11-15 ARI 31 SEA 20
2009-11-15 GB  17 DAL  7
2009-11-15 LAC 31 PHI 23
2009-11-15 IND 35 NE  34
2009-11-16 CLE  0 BAL 16
2009-11-19 CAR 17 MIA 24
2009-11-22 BAL 15 IND 17
2009-11-22 DAL  7 WAS  6
2009-11-22 DET 38 CLE 37
2009-11-22 GB  30 SF  24
2009-11-22 JAC 18 BUF 15
2009-11-22 KC  27 PIT 24
2009-11-22 MIN 35 SEA  9
2009-11-22 NYG 34 ATL 31
2009-11-22 TB   7 NO  38
2009-11-22 LAR 13 ARI 21
2009-11-22 DEN  3 LAC 32
2009-11-22 NE  31 NYJ 14
2009-11-22 OAK 20 CIN 17
2009-11-22 CHI 20 PHI 24
2009-11-23 HOU 17 TEN 20
2009-11-26 DET 12 GB  34
2009-11-26 DAL 24 OAK  7
2009-11-26 DEN 26 NYG  6
2009-11-29 ATL 20 TB  17
2009-11-29 BUF 31 MIA 14
2009-11-29 CIN 16 CLE  7
2009-11-29 HOU 27 IND 35
2009-11-29 NYJ 17 CAR  6
2009-11-29 PHI 27 WAS 24
2009-11-29 LAR 17 SEA 27
2009-11-29 LAC 43 KC  14
2009-11-29 SF  20 JAC  3
2009-11-29 MIN 36 CHI 10
2009-11-29 TEN 20 ARI 17
2009-11-29 BAL 20 PIT 17
2009-11-30 NO  38 NE  17
2009-12-03 BUF 13 NYJ 19
2009-12-06 ATL  7 PHI 34
2009-12-06 CAR 16 TB   6
2009-12-06 CHI 17 LAR  9
2009-12-06 CIN 23 DET 13
2009-12-06 IND 27 TEN 17
